nspname|relname|relkind|relrowsecurity|relforcerowsecurity|parent
private|rls_associative_audit|v|f|f|
public|audit_logs|p|t|f|
public|accounts|r|t|f|
public|app_error_logs|r|t|f|
public|app_error_occurrences|r|t|f|
public|app_error_report_events|r|t|f|
public|app_error_reports|r|t|f|
public|app_hidden_screens|r|t|f|
public|app_table_layouts|r|t|f|
public|asaas_webhook_events|r|t|f|
public|audit_logs_2025_09|r|t|f|audit_logs
public|audit_logs_2025_10|r|t|f|audit_logs
public|audit_logs_2025_11|r|t|f|audit_logs
public|audit_logs_2025_12|r|t|f|audit_logs
public|audit_logs_2026_01|r|t|f|audit_logs
public|audit_logs_2026_02|r|t|f|audit_logs
public|audit_logs_2026_03|r|t|f|audit_logs
public|audit_logs_2026_04|r|t|f|audit_logs
public|audit_logs_2026_05|r|t|f|audit_logs
public|audit_logs_2026_06|r|t|f|audit_logs
public|audit_logs_2026_07|r|t|f|audit_logs
public|audit_logs_2026_08|r|t|f|audit_logs
public|audit_logs_2026_09|r|t|f|audit_logs
public|audit_logs_2026_10|r|t|f|audit_logs
public|audit_logs_2026_11|r|t|f|audit_logs
public|audit_logs_2026_12|r|t|f|audit_logs
public|audit_logs_default|r|t|f|audit_logs
public|auth_login_identifiers|r|t|f|
public|auth_rate_limits|r|t|f|
public|auth_recovery_challenges|r|t|f|
public|auth_user_security_state|r|t|f|
public|balance_drift_snapshots|r|t|f|
public|banks|r|t|f|
public|categories|r|t|f|
public|categorization_rules|r|t|f|
public|category_companies|r|t|f|
public|category_template_chart_links_log|r|t|f|
public|category_templates|r|t|f|
public|chart_account_companies|r|t|f|
public|chart_account_templates|r|t|f|
public|chart_accounts|r|t|f|
public|chart_accounts_root_meta|r|t|f|
public|cnpj_cache|r|t|f|
public|companies|r|t|f|
public|company_invites|r|t|f|
public|company_members|r|t|f|
public|company_modules|r|t|f|
public|contact_companies|r|t|f|
public|contacts|r|t|f|
public|cost_center_companies|r|t|f|
public|cost_centers|r|t|f|
public|coupon_redemptions|r|t|t|
public|coupons|r|t|t|
public|credit_card_invoices|r|t|f|
public|credit_cards|r|t|f|
public|dp_acesso_concessoes|r|t|f|
public|dp_adiantamento_solicitacoes|r|t|f|
public|dp_adicionais_tempo_servico|r|t|f|
public|dp_admissao_regra_cargos|r|t|f|
public|dp_admissao_regra_parentescos|r|t|f|
public|dp_admissao_regra_regimes|r|t|f|
public|dp_admissao_regra_sexos|r|t|f|
public|dp_admissao_regra_unidades|r|t|f|
public|dp_admissao_regras|r|t|f|
public|dp_apoio_unidades|r|t|f|
public|dp_avisos|r|t|f|
public|dp_avisos_comentarios|r|t|f|
public|dp_avisos_leituras|r|t|f|
public|dp_avisos_reacoes|r|t|f|
public|dp_beneficios|r|t|f|
public|dp_beneficios_padroes|r|t|f|
public|dp_bloqueio_regra_unidades|r|t|f|
public|dp_bloqueio_regras|r|t|f|
public|dp_bloqueios|r|t|f|
public|dp_bulk_import_batches|r|t|f|
public|dp_bulk_import_items|r|t|f|
public|dp_cadastro_solicitacoes|r|t|f|
public|dp_cargo_salarios|r|t|f|
public|dp_cargos|r|t|f|
public|dp_cobertura_minima|r|t|f|
public|dp_colaborador_beneficios|r|t|f|
public|dp_colaborador_config_dias|r|t|f|
public|dp_colaborador_config_trabalho|r|t|f|
public|dp_colaborador_desligamento_restrito|r|t|f|
public|dp_colaborador_documentos|r|t|f|
public|dp_colaborador_historico_condicoes|r|t|f|
public|dp_colaborador_jornadas|r|t|f|
