nspname|proname|args|prosecdef|cfg|anon_x|auth_x|svc_x
private|apply_audit_log_partition_policies|_part_name text|t|search_path=public|f|t|t
private|can_edit_company_module|_user_id uuid, _company_id uuid, _module text|t|search_path=""|f|t|t
private|can_view_company_module|_user_id uuid, _company_id uuid, _module text|t|search_path=""|f|t|t
private|category_editable_by_member|_uid uuid, _category_id uuid|t|search_path=public, private|f|t|t
private|category_visible_to_member|_uid uuid, _category_id uuid|t|search_path=public, private|f|t|t
private|company_owner_snapshot|_company_id uuid|t|search_path=public|f|t|t
private|contact_editable_by_member|_uid uuid, _contact_id uuid|t|search_path=public, private|f|t|t
private|contact_visible_to_member|_uid uuid, _contact_id uuid|t|search_path=public, private|f|t|t
private|cost_center_company_ids|_cc uuid|t|search_path=public, private|f|t|t
private|cost_center_owner|_cc uuid|t|search_path=public, private|f|t|t
private|dp_access_enabled|_user_id uuid|t|search_path=public|f|t|t
private|dp_mark_pending_dirty||t|search_path=public, private, pg_temp|f|f|t
private|dp_pode_agir|_user_id uuid|t|search_path=public|t|t|t
private|dp_pode_ver_documentos|_user_id uuid|t|search_path=public|t|t|t
private|dp_portal_decisao|_user_id uuid|t|search_path=public|t|t|t
private|dp_refresh_document_pending|p_company_id uuid|t|search_path=public, private, pg_temp|f|f|t
private|dp_refresh_document_pending_queue||t|search_path=public, private, pg_temp|t|t|t
private|dp_troca_efetivar|_troca_id uuid, _ator uuid|t|search_path=public|f|f|t
private|get_company_role|_user_id uuid, _company_id uuid|t|search_path=public|f|t|t
private|get_user_company_ids|_user_id uuid|t|search_path=public|f|t|t
private|is_company_accountant|_user_id uuid, _company_id uuid|t|search_path=public|f|t|t
private|is_company_admin_or_owner|_user_id uuid, _company_id uuid|t|search_path=public|f|t|t
private|is_company_member|_user_id uuid, _company_id uuid|t|search_path=public|f|t|t
private|is_company_owner|_user_id uuid, _company_id uuid|t|search_path=public|t|t|t
private|is_dp_colaborador_of_company|_user_id uuid, _company_id uuid|t|search_path=public|t|t|t
private|manage_audit_logs_partitions||t|search_path=public|f|t|t
private|member_can_edit|_user_id uuid, _company_id uuid, _module text|t|search_path=public, private|f|t|t
private|member_permission|_user_id uuid, _company_id uuid, _module text|t|search_path=public, private|f|t|t
private|pluggy_can_edit|_user_id uuid, _company_id uuid|t|search_path=public, private|t|t|t
private|pluggy_can_manage_accounts|_user_id uuid, _company_id uuid|t|search_path=public, private|t|t|t
private|pluggy_module_edit|_user_id uuid, _company_id uuid, _module text|t|search_path=public, private|t|t|t
private|prevent_association_tenant_change||t|search_path=""|t|t|t
private|user_owns_category|_uid uuid, _category_id uuid|t|search_path=public, private|f|t|t
private|user_owns_contact|_uid uuid, _contact_id uuid|t|search_path=public, private|f|t|t
public|adjust_account_balance|_account_id uuid, _target_balance numeric, _adjust_date date, _note text, _idempotency_key text|t|search_path=public|f|t|t
public|app_error_log_record|_fingerprint text, _message text, _company_id uuid, _surface text, _route text, _action text, _severity text, _source text, _code text, _user_message text, _details jsonb|t|search_path=public|f|t|t
public|app_error_report_create|_error_log_id uuid, _description text, _attempted_action text, _route text|t|search_path=public|f|t|t
public|apply_ai_categorization|p_transaction_id uuid, p_category_id uuid, p_confidence numeric, p_reason text|t|search_path=public, private|f|t|t
public|apply_chart_account_suggestions|_items jsonb|t|search_path=public|f|t|t
public|apply_default_categories|_company_id uuid, _replace_existing boolean|t|search_path=public|f|t|t
public|apply_default_payment_methods|_context text, _company_id uuid|t|search_path=public|f|t|t
public|apply_tx_balance|_tx transactions, _sign integer|t|search_path=public|f|f|t
public|asaas_webhook_claim|_worker text, _batch integer, _lease_seconds integer|t|search_path=public|f|f|t
public|asaas_webhook_finalize_failure|_event_id uuid, _worker text, _error text, _error_code text, _fatal boolean|t|search_path=public|f|f|t
public|asaas_webhook_finalize_success|_event_id uuid, _worker text|t|search_path=public|f|f|t
public|asaas_webhook_requeue|_event_id uuid|t|search_path=public|f|f|t
public|assign_transaction_to_invoice|_transaction_id uuid|t|search_path=public|f|f|t
public|audit_pluggy_v2_raw_delete||t|search_path=public|f|f|t
public|audit_row_change||t|search_path=public|f|f|t
public|auth_access_enabled||t|search_path=public|f|t|t
public|auto_add_company_owner||t|search_path=public|f|f|t
public|auto_promote_open_finance_raw|_connection_id uuid|t|search_path=public|f|f|t
public|can_use_module|p_company_id uuid, p_module app_module, p_operation text|t|search_path=public|f|t|t
public|categories_autogen_template_code||t|search_path=public|f|f|t
public|categories_guard_parent_company||t|search_path=public|f|f|t
public|categories_guard_parent_scope||t|search_path=public|f|f|t
public|categorize_transaction|p_description text, p_transaction_type text, p_context text, p_company_id uuid, p_user_id uuid, p_min_similarity numeric|t|search_path=public|f|t|t
public|categorize_transactions_batch|p_limit integer, p_min_confidence numeric, p_context text, p_company_id uuid, p_only_uncategorized boolean|t|search_path=public|f|t|t
public|category_templates_apply_chart_accounts|_overwrite boolean|t|search_path=public|f|t|t
public|chart_account_autofill_code||t|search_path=public|f|f|t
public|chart_account_move|_id uuid, _new_parent_id uuid|t|search_path=public|f|t|t
public|chart_account_next_code|_parent_id uuid, _user_id uuid, _context context_type|t|search_path=public|f|f|t
public|chart_accounts_block_delete_with_history||t|search_path=public|f|f|t
public|chart_accounts_ensure|_context context_type, _company_id uuid|t|search_path=public|f|t|t
public|chart_accounts_ensure_for_company|_company_id uuid|t|search_path=public|f|f|t
public|chart_accounts_ledger|_context context_type, _company_id uuid, _account_id uuid, _from date, _to date, _regime text, _status text|t|search_path=public|f|t|t
public|chart_accounts_ledger|_context context_type, _company_id uuid, _account_id uuid, _from date, _to date, _regime text|t|search_path=public|f|t|t
public|chart_accounts_pending_classification|_context context_type, _company_id uuid, _from date, _to date, _limit integer|t|search_path=public|f|t|t
public|chart_accounts_report|_context context_type, _company_id uuid, _from date, _to date, _regime text, _cost_center_ids uuid[], _include_zero boolean, _status text|t|search_path=public|f|t|t
public|chart_accounts_resequence|_context context_type|t|search_path=public|f|t|t
public|chart_accounts_restore_default|_company_id uuid|t|search_path=public|f|t|t
public|chart_accounts_seed_default|_user_id uuid, _company_id uuid|t|search_path=public|f|f|t
public|chart_accounts_seed_on_company||t|search_path=public|f|f|t
public|chart_accounts_seed_tree|_user_id uuid, _context context_type, _company_id uuid|t|search_path=public|f|f|t
public|claim_open_finance_sync|_connection_id uuid, _locked_by text, _ttl_seconds integer|t|search_path=public|f|f|t
public|claim_open_finance_sync|_worker_id text, _lock_seconds integer|t|search_path=public|f|f|t
public|classify_open_finance_item_state|_connection_id uuid, _status text, _execution_status text, _error_code text, _error_message text, _consent_expires_at timestamp with time zone, _parameter jsonb|t|search_path=public|f|f|t
public|close_credit_card_invoices|_limit integer, _today date|t|search_path=public|f|f|t
public|companies_guard_owner_transfer||t|search_path=public|f|f|t
public|company_access_status|_company_id uuid|t|search_path=public|f|t|t
public|consume_recovery_reset|p_challenge_id uuid, p_reset_token_hash text|t|search_path=public|f|f|t
public|create_and_link_open_finance_account|_of_account_id uuid, _account_name text, _account_type account_type, _bank_slug text, _initial_balance numeric, _auto_import boolean|t|search_path=public|f|f|t
public|credit_card_other_company|_company_id uuid, _number text|t|search_path=public|f|t|t
public|credit_cards_purge_open_finance||t|search_path=public|f|f|t
public|cron_health|_window_hours integer|t|search_path=public, cron|f|t|t
public|delete_account|_account_id uuid|t|search_path=public|f|t|t
public|delete_ai_categorization_message|p_msg_id bigint|t|search_path=public, pgmq|f|f|t
public|dp_acesso_concessao_decidir|_id uuid, _decisao text|t|search_path=public|f|t|t
public|dp_acesso_concessao_sync||t|search_path=public|f|f|t
public|dp_adiantamento_solicitacao_guard||t|search_path=public|f|f|t
public|dp_adiantamento_sync_optante||t|search_path=public|f|f|t
public|dp_admissao_regra_excluir|p_id uuid|t|search_path=public|t|t|t
public|dp_admissao_regra_filha_guard||t|search_path=public|f|t|t
public|dp_admissao_regra_salvar|p_regra jsonb|t|search_path=public|t|t|t
public|dp_admissao_regras_guard||t|search_path=public|t|t|t
public|dp_admissao_regras_resolver|p_company_id uuid, p_unidade_id uuid, p_cargo_id uuid, p_regime dp_regime_trabalho|t|search_path=public|t|t|t
public|dp_admissao_regras_resolver|p_company_id uuid, p_unidade_id uuid, p_cargo_id uuid, p_regime dp_regime_trabalho, p_sexo text|t|search_path=public|t|t|t
public|dp_apoio_unidades_guard||t|search_path=public|f|f|t
public|dp_beneficios_padroes_guard||t|search_path=public|f|f|t
public|dp_bloquear_cadastro_legado||t|search_path=public|f|f|t
public|dp_bloquear_durante_ferias||t|search_path=public|f|f|t
public|dp_bulk_batch_finalize|_batch_id uuid|t|search_path=public|f|f|t
public|dp_bulk_claim_batches|_worker text, _limit integer, _lease_seconds integer|t|search_path=public|f|f|t
public|dp_bulk_claim_items|_worker text, _limit integer, _lease_seconds integer|t|search_path=public|f|f|t
